analysis_type,seed,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp
fixed_global_sweep,43,0.325,191,0.7023809523809523,0.411214953271028,0.48360655737704916,0.5728155339805825,0.6888629283489096,0.5392670157068062,0.5567979528259902,44,63,25,59,"44,63,25,59"
fixed_global_sweep,44,0.325,191,0.7380952380952381,0.411214953271028,0.496,0.5933014354066986,0.7152870493991991,0.5549738219895288,0.5746550956831331,44,63,22,62,"44,63,22,62"
fixed_global_sweep,45,0.325,191,0.7023809523809523,0.411214953271028,0.48360655737704916,0.5728155339805825,0.7256898086337339,0.5392670157068062,0.5567979528259902,44,63,25,59,"44,63,25,59"
fixed_global_sweep,46,0.325,191,0.7023809523809523,0.37383177570093457,0.46825396825396826,0.5619047619047619,0.6638851802403204,0.518324607329843,0.5381063640409435,40,67,25,59,"40,67,25,59"
fixed_global_sweep,42,0.3,191,0.7380952380952381,0.34579439252336447,0.4696969696969697,0.5740740740740741,0.7026034712950601,0.518324607329843,0.5419448153093013,37,70,22,62,"37,70,22,62"
fixed_global_sweep,43,0.3,191,0.7142857142857143,0.3925233644859813,0.48,0.5741626794258373,0.6917556742323098,0.5340314136125655,0.5534045393858478,42,65,24,60,"42,65,24,60"
fixed_global_sweep,44,0.3,191,0.7380952380952381,0.3925233644859813,0.4881889763779528,0.5876777251184834,0.7160102358700491,0.5445026178010471,0.5653093012906097,42,65,22,62,"42,65,22,62"
fixed_global_sweep,45,0.3,191,0.7142857142857143,0.411214953271028,0.4878048780487805,0.5797101449275363,0.7253560302625723,0.5445026178010471,0.5627503337783711,44,63,24,60,"44,63,24,60"
fixed_global_sweep,46,0.3,191,0.7023809523809523,0.3644859813084112,0.4645669291338583,0.5592417061611374,0.6662216288384513,0.5130890052356021,0.5334334668446817,39,68,25,59,"39,68,25,59"
fixed_global_sweep,42,0.275,191,0.75,0.3364485981308411,0.4701492537313433,0.5779816513761468,0.7115598575878951,0.518324607329843,0.5432242990654206,36,71,21,63,"36,71,21,63"
fixed_global_sweep,43,0.275,191,0.7142857142857143,0.3925233644859813,0.48,0.5741626794258373,0.6907543391188252,0.5340314136125655,0.5534045393858478,42,65,24,60,"42,65,24,60"
